Node 1,Node 2,Mode,Distance (km),Product_weight,Unit Cost [$],Unit Emissions [CO2e],Travel Time [days]
s1,w1,air,170.5797161865824,1,15.523660645280357,170.5797161865824,0.24368530883797487
s1,w1,air,170.5797161865824,3,26.57098193584107,511.7391485597472,0.24368530883797487
s1,w1,air,170.5797161865824,5,37.618303226401785,852.898580932912,0.24368530883797487
s1,w2,air,762.8316787809836,1,19.507352476147673,762.8316787809836,1.0897595411156908
s1,w2,air,762.8316787809836,3,38.522057428443006,2288.4950363429507,1.0897595411156908
s1,w2,air,762.8316787809836,5,57.53676238073835,3814.158393904918,1.0897595411156908
s1,w3,air,577.7107002746121,1,18.914019571606058,577.7107002746121,0.825301000392303
s1,w3,air,577.7107002746121,3,36.74205871481817,1733.1321008238365,0.825301000392303
s1,w3,air,577.7107002746121,5,54.570097858030294,2888.5535013730605,0.825301000392303
s1,w4,air,793.5498756617908,1,19.584419203513672,793.5498756617908,1.133642679516844
s1,w4,air,793.5498756617908,3,38.75325761054101,2380.6496269853724,1.133642679516844
s1,w4,air,793.5498756617908,5,57.922096017568364,3967.749378308954,1.133642679516844
s1,w5,air,801.0579937482826,1,19.60253650139326,801.0579937482826,1.1443685624975466
s1,w5,air,801.0579937482826,3,38.80760950417978,2403.1739812448477,1.1443685624975466
s1,w5,air,801.0579937482826,5,58.01268250696631,4005.289968741413,1.1443685624975466
s1,w6,air,97.03492290887309,1,13.920141993753736,97.03492290887309,0.13862131844124725
s1,w6,air,97.03492290887309,3,21.760425981261207,291.1047687266192,0.13862131844124725
s1,w6,air,97.03492290887309,5,29.600709968768683,485.17461454436545,0.13862131844124725
s1,w7,air,313.0851395201697,1,17.32241373771915,313.0851395201697,0.4472644850288139
s1,w7,air,313.0851395201697,3,31.967241213157443,939.2554185605092,0.4472644850288139
s1,w7,air,313.0851395201697,5,46.61206868859574,1565.4256976008487,0.4472644850288139
s1,w8,air,576.5112331619406,1,18.909252696542147,576.5112331619406,0.8235874759456294
s1,w8,air,576.5112331619406,3,36.727758089626434,1729.5336994858217,0.8235874759456294
s1,w8,air,576.5112331619406,5,54.54626348271073,2882.556165809703,0.8235874759456294
s1,w9,air,167.36918585896893,1,15.46706231120498,167.36918585896893,0.2390988369413842
s1,w9,air,167.36918585896893,3,26.401186933614945,502.1075575769068,0.2390988369413842
s1,w9,air,167.36918585896893,5,37.335311556024905,836.8459292948446,0.2390988369413842
